rank;title;Previous Rank;Revenues ($M);Revenue Change(%);Profits ($M);Profit Change(%);Assets ($M);Mkt Value as of 3/29/18 ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
493;Simon Property Group;477;5539;1,9;1948;5,9;32258;47861;415;David E. Simon;Chairman &  Chief Executive Officer;Financials;Real estate;5;Indianapolis;IN;39.768403;-86.158068
494;Western Union;478;5524;1,9;-557,1;-320;9231;8857;115;Hikmet Ersek;President, Chief Executive Officer &  Director;Business Services;Financial Data Services;12;Englewood;CO;39.6477653;-104.9877597
495;NetApp;468;5519;-0,5;509;122,3;9493;16528;101;George Kurian;President, Chief Executive Officer &  Director;Technology;Computers, Office Equipment;7;Sunnyvale;CA;37.36883;-122.0363496
496;Polaris Industries;537;5505;19,8;172,5;-19;309;7224;11;Scott W. Wine;Chairman &  Chief Executive Officer;Transportation;Transportation Equipment;1;Medina;MN;45.0352411;-93.5824586
497;Pioneer Natural Resources;606;5455;42,7;833;0;17003;29254;3836;Timothy L. Dove;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;2;Irving;TX;32.8140177;-96.9488945
498;ABM Industries;500;5454;6;3,8;-93,4;3813;22;140;Scott B. Salmirs;President, Chief Executive Officer &  Director;Business Services;Diversified Outsourcing Services;3;New York;NY;40.7127753;-74.0059728
499;Vistra Energy;499;543;5,2;-254;0;146;8925;415;Curtis A. Morgan;President, Chief Executive Officer &  Director;Energy;Energy;2;Irving;TX;32.8140177;-96.9488945
500;Cintas;520;5429;10,7;480,7;-30,7;6844;18165;42;Scott D. Farmer;Chairman &  Chief Executive Officer;Business Services;Diversified Outsourcing Services;1;Cincinnati;OH;39.1031182;-84.5120196
501;Hess;525;5405;11,6;-4074;0;23112;15948;2075;John B. Hess;Chairman &  Chief Executive Officer;Energy;Mining, Crude-Oil Production;0;New York;NY;40.7127753;-74.0059728
502;Host Hotels & Resorts;472;5387;-1,8;564;-26;11693;13822;205;James F. Risoleo;President, Chief Executive Officer &  Director;Financials;Real estate;0;Bethesda;MD;38.984652;-77.0947092
503;Kelly Services;490;5374;1,8;71,6;-40,7;2378;1116;78;George S. Corona;President, Chief Executive Officer &  Director;Business Services;Temporary Help;0;Troy;MI;42.6064095;-83.1497751
504;Genesis Healthcare;454;5374;-6,3;-579;0;4788;241;687;George V. Hager Jr.;Chief Executive Officer &  Director;Health Care;Health Care: Medical Facilities;0;Kennett Square;PA;39.8467767;-75.7116032
505;Michaels Cos.;496;5362;3,2;390,5;3,3;23;3586;305;Carl S. Rubin;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Other;0;Irving;TX;32.8140177;-96.9488945
506;Advanced Micro Devices;565;5329;24,7;43;0;354;974;89;Lisa T. Su;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;0;Santa Clara;CA;37.3541079;-121.9552356
507;Zoetis;521;5307;8,6;864;5,2;8586;40524;92;Juan Ram?n Alaix;Chairman &  Chief Executive Officer;Health Care;Pharmaceuticals;0;Parsippany-Troy Hills;NJ;40.8652865;-74.4173877
508;Williams-Sonoma;506;5292;4,1;259,5;-15;2786;4441;1935;Laura J. Alber;President, Chief Executive Officer &  Director;Retailing;Specialty Retailers: Other;0;SF;CA;37.7749295;-122.4194155
509;Fortune Brands Home & Security;511;5283;6;472,6;14,4;5511;8717;2387;Christopher J. Klein;Chairman &  Chief Executive Officer;Household Products;Home Equipment, Furnishings;0;Deerfield;IL;42.1711365;-87.8445119
510;Big Lots;495;5271;1,4;189,8;24,2;1652;183;229;Lisa M. Bachmann;Executive V.P.-Principal Executive Officer;Retailing;Specialty Retailers: Other;0;Columbus;OH;39.9611755;-82.9987942
511;Robert Half International;493;5267;0,3;290,6;-15,4;1868;7194;172;Harold M. Messmer Jr.;Chairman &  Chief Executive Officer;Business Services;Temporary Help;0;Menlo Park;CA;37.4529598;-122.1817252
512;Post Holdings;508;5226;4;48,3;0;11877;4968;1141;Robert V. Vitale;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Consumer Products;0;St. Louis;MO;38.6270025;-90.1994042
513;Hasbro;509;521;3,8;396,6;-28,1;529;10468;54;Brian D. Goldner;Chairman &  Chief Executive Officer;Household Products;Toys, Sporting Goods;0;Pawtucket;RI;41.878711;-71.3825558
514;Hanover Insurance Group;517;5184;4,8;186,2;20,1;1547;5017;46;John C. Roche;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);0;Worcester;MA;42.2625932;-71.8022934
515;Navient;514;5179;4,3;292;-57,1;114991;3456;67;John F. Remondi;President, Chief Executive Officer &  Director;Financials;Diversified Financials;0;Wilmington;DE;39.7390721;-75.5397878
516;Intuit;527;5177;7,2;971;-0,8;4068;44397;82;Brad D. Smith;Chairman, President &  Chief Executive Officer;Technology;Computer Software;0;Mountain View;CA;37.3860517;-122.0838511
517;Domtar;505;5157;1,2;-258;-301,6;5212;2667;10;John D. Williams;President, Chief Executive Officer &  Director;Materials;Forest and Paper Products;0;Fort Mill;SC;35.0073697;-80.9450759
518;Marathon Oil;536;5153;10,8;-5723;0;22012;13707;23;Lee M. Tillman;President, Chief Executive Officer &  Director;Energy;Mining, Crude-Oil Production;0;Houston;TX;29.7604267;-95.3698028
519;Cerner;530;5142;7,2;867;36,2;6469;19291;26;D. Brent Shafer;Chairman &  Chief Executive Officer;Health Care;Health Care: Pharmacy and Other Services;0;North Kansas City;MO;39.1429081;-94.5729781
520;Analog Devices;660;5108;49,3;727,3;-15,6;21141;337;153;Vincent T. Roche;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;0;Norwood;MA;42.1943909;-71.1989695
521;Telephone & Data Systems;504;5044;-1,2;153;255,8;9295;3115;99;LeRoy T. Carlson Jr.;President, Chief Executive Officer &  Director;Telecommunications;Telecommunications;0;Chicago;IL;41.8781136;-87.6297982
522;Essendant;487;5037;-6,2;-267;-518,1;1774;294;64;Richard D. Phillips;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Electronics and Office Equipment;0;Deerfield;IL;42.1711365;-87.8445119
523;Sonoco Products;531;5037;5,3;175,3;-38,8;4558;4829;21;Robert C. Tiede;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;0;Hartsville;SC;34.3740431;-80.0734005
524;Juniper Networks;510;5027;0,7;306,2;-48,3;9834;8364;9381;Rami Rahim;Chairman &  Chief Executive Officer;Technology;Network and Other Communications Equipment;0;Sunnyvale;CA;37.36883;-122.0363496
525;Commercial Metals;535;4999;7,5;46,3;-15,4;2975;2394;8797;Barbara R. Smith;Chairman, President &  Chief Executive Officer;Materials;Metals;0;Irving;TX;32.8140177;-96.9488945
526;CSRA;570;4993;17,5;304;248,8;4888;6759;185;Lawrence B. Prior III;Chief Executive Officer &  Director;Technology;Information Technology Services;0;Falls Church;VA;38.882334;-77.1710914
527;Under Armour;528;4977;3,1;-48,3;-118,8;4006;6756;1135;Kevin A. Plank;Chairman &  Chief Executive Officer;Apparel;Apparel;0;Baltimore;MD;39.2903848;-76.6121893
528;RPM International;529;4958;3;181,8;-48,7;509;6372;14318;Frank C. Sullivan;Chairman &  Chief Executive Officer;Chemicals;Chemicals;0;Medina;OH;41.143245;-81.8552196
529;Total System Services;579;4928;18,2;586,2;83,4;6332;15676;118;M. Troy Woods;Chairman, President &  Chief Executive Officer;Business Services;Financial Data Services;0;Columbus;GA;32.4609764;-84.9877094
530;Levi Strauss;542;4904;7,7;281,4;-3,3;3355;0;138;Charles V. Bergh;President, Chief Executive Officer &  Director;Apparel;Apparel;0;SF;CA;37.7749295;-122.4194155
531;Brunswick;547;4898;9,1;146,4;-47;3358;5188;15116;Mark D. Schwabero;Chairman &  Chief Executive Officer;Transportation;Transportation Equipment;0;Libertyville;IL;42.2333571;-87.9259058
532;YRC Worldwide;534;4891;4,1;-10,8;-150,2;1586;299;32;Darren D. Hawkins;Chief Executive Officer;Transportation;Trucking, Truck Leasing;0;Overland Park;KS;38.9822282;-94.6707917
533;Mattel;474;4882;-10,5;-1053,8;-431,4;6239;4523;28;Ynon Kreiz;Chief Executive Officer;Household Products;Toys, Sporting Goods;0;El Segundo;CA;33.9191799;-118.4164652
534;FM Global;557;4875;11,5;254,1;-68,1;23247;0;5441;Thomas A. Lawson;Chairman, President &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);0;Johnston;RI;41.8205199;-71.512617
535;NiSource;545;4875;8,5;128,5;-61,2;19962;8068;8175;Joseph Hamrock;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;0;Merrillville;IN;41.4828144;-87.3328139
536;Caesars Entertainment;541;4852;6,5;-375;0;25512;7838;65;Mark P. Frissora;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;0;Las Vegas;NV;36.1699412;-115.1398296
537;Electronic Arts;556;4845;10,2;967;-16,3;7718;37188;88;Andrew Wilson;Chief Executive Officer &  Director;Technology;Entertainment;0;Redwood City;CA;37.4852152;-122.2363548
538;Dynegy;561;4842;12,1;76;0;11771;1952;2489;Curtis A. Morgan;CEO-Vistra Energy;Energy;Energy;0;Houston;TX;29.7604267;-95.3698028
539;McCormick;553;4834;9,6;477,4;1,1;10386;13964;117;Lawrence E. Kurzius;Chairman, President &  Chief Executive Officer;Food, Beverages &  Tobacco;Food Consumer Products;0;Sparks Glencoe;MD;39.5309389;-76.6458043
540;T. Rowe Price;573;4793;13,5;1497,8;23,3;7535;26409;6881;William J. Stromberg;President, Chief Executive Officer &  Director;Financials;Securities;0;Baltimore;MD;39.2903848;-76.6121893
541;Orbital ATK;549;4764;6,9;310;5,8;5666;7665;139;Blake Larson;President, Chief Executive Officer &  Director;Aerospace &  Defense;Aerospace and Defense;0;Sterling;VA;38.9624899;-77.4380485
542;Tutor Perini;513;4757;-4,3;148,4;54,9;4264;1098;10061;Ronald N. Tutor;Chairman &  Chief Executive Officer;Engineering &  Construction;Engineering, Construction;0;Los Angeles;CA;34.3058279;-118.4571974
543;Brookdale Senior Living;512;4747;-4,6;-571,4;0;7675;1252;6255;Lucinda M. Baier;President, Chief Executive Officer &  Director;Health Care;Health Care: Medical Facilities;0;Brentwood;TN;36.0331164;-86.7827772
544;Huntington Bancshares;610;474;25,3;1186;66,6;104185;16209;1577;Stephen D. Steinour;Chairman, President &  Chief Executive Officer;Financials;Commercial Banks;0;Columbus;OH;39.9611755;-82.9987942
545;Wayfair;666;4721;39,7;-244,6;0;1213;5977;7751;Niraj S. Shah;Co-Chairman, President &  Chief Executive Officer;Technology;Internet Services and Retailing;0;Boston;MA;42.3600825;-71.0588801
546;Rush Enterprises;575;4714;11,8;172,1;324,2;289;1609;6825;W. M. Rush;Chairman, President &  Chief Executive Officer;Retailing;Automotive Retailing, Services;0;New Braunfels;TX;29.7030024;-98.1244531
547;Xylem;611;4707;24,8;331;27,3;686;13839;162;Patrick K. Decker;President, Chief Executive Officer &  Director;Industrials;Industrial Machinery;0;Rye Brook;NY;41.0192641;-73.6834621
548;Neiman Marcus Group;515;4706;-4,9;-531,8;0;7704;0;137;Geoffroy van Raemdonck;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;0;Dallas;TX;32.7766642;-96.7969879
549;Hyatt Hotels;552;4685;5,8;249;22,1;7672;9054;45;Mark S. Hoplamazian;President, Chief Executive Officer &  Director;Hotels, Restaurants &  Leisure;Hotels, Casinos, Resorts;0;Chicago;IL;41.8781136;-87.6297982
550;Sprouts Farmers Market;585;4665;15,3;158,4;27,5;1582;3122;27;Amin N. Maredia;Chairman &  Chief Executive Officer;Food &  Drug Stores;Food and Drug Stores;0;Phoenix;AZ;33.4483771;-112.0740373
551;Diebold Nixdorf;672;4609;38;-233,1;0;525;117;23;Gerrard B. Schmid;President, Chief Executive Officer &  Director;Technology;Computers, Office Equipment;0;North Canton;OH;40.875891;-81.4023356
552;Roper Technologies;609;4608;21,6;971,8;47,5;14316;28862;14236;Brian D. Jellison;Chairman, President &  Chief Executive Officer;Technology;Scientific,Photographic and  Control Equipment;0;Sarasota;FL;27.3364347;-82.5306527
553;Smart & Final Stores;559;4571;5,3;-138,9;-1172,9;181;412;757;David G. Hirz;President, Chief Executive Officer &  Director;Food &  Drug Stores;Food and Drug Stores;0;Commerce;CA;34.0005691;-118.1597929
554;CommScope Holding;518;4561;-7,4;193,8;-13;7042;767;20;Marvin S. Edwards Jr.;President, Chief Executive Officer &  Director;Technology;Network and Other Communications Equipment;0;Newton;NC;35.7344538;-81.3444573
555;Tapestry;546;4488,3;-0,1;591;28,3;5831,6;14988;12450;Victor Luis;Chairman &  Chief Executive Officer;Apparel;Apparel;0;New York City;NY;40.7127753;-74.0059728
556;Diplomat Pharmacy;554;4485;1,7;15,5;-45,1;194;1493;2298;Brian Griffin;Interim Chief Executive Officer &  Director;Health Care;Health Care: Pharmacy and Other Services;0;Flint;MI;43.0125274;-83.6874562
557;Chipotle Mexican Grill;599;4476;14,7;176,3;668,4;2046;9025;6889;Brian R. Niccol;Chairman &  Chief Executive Officer;Hotels, Restaurants &  Leisure;Food Services;0;Denver;CO;39.7392358;-104.990251
558;Agilent Technologies;576;4472;6,4;684;48,1;8426;21574;135;Michael R. McMullen;President, Chief Executive Officer &  Director;Technology;Scientific,Photographic and  Control Equipment;0;Santa Clara;CA;37.3541079;-121.9552356
559;Science Applications International;551;4454;0,3;179;25,2;2073;3332;15391;Anthony J. Moraco;Chairman &  Chief Executive Officer;Technology;Information Technology Services;0;Reston;VA;38.9586307;-77.3570028
560;MDU Resources Group;569;4444;4,5;281,2;336,4;6335;55;1014;David L. Goodin;President, Chief Executive Officer &  Director;Energy;Energy;0;Bismarck;ND;46.8083268;-100.7837392
561;Select Medical Holdings;563;4444;3,7;177,2;53,5;5127;2313;3605;David S. Chernow;President, Chief Executive Officer &  Director;Health Care;Health Care: Medical Facilities;0;Mechanicsburg;PA;40.2142565;-77.0085876
562;Boise Cascade;597;4432;13,3;83;116,9;1607;15;637;Thomas K. Corrick;Chairman &  Chief Executive Officer;Wholesalers;Wholesalers: Diversified;0;Boise;ID;43.6150186;-116.2023137
563;National General Holdings;643;4431;24,7;105,8;-39,8;844;2598;757;Barry Karfunkel;President, Chief Executive Officer &  Director;Financials;Insurance: Property and Casualty (Stock);0;New York;NY;40.7127753;-74.0059728
564;SCANA;572;4407;4,3;-119;-120;18739;5356;5228;Jimmy E. Addison;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;0;Cayce;SC;33.9657091;-81.0739827
565;Graphic Packaging Holding;562;4404;2,5;300,2;31,7;4863;4754;13;Michael P. Doss;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;0;Atlanta;GA;33.7489954;-84.3879824
566;Fastenal;591;4391;10,8;578,6;15,8;2911;15703;20565;Daniel L. Florness;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;0;Winona;MN;44.0553908;-91.6663523
567;Schneider National;;4384;8,4;389,9;148,6;3331;461;196;Christopher B. Lofgren;President, Chief Executive Officer &  Director;Transportation;Trucking, Truck Leasing;0;Green Bay;WI;44.5133188;-88.0132958
568;Laureate Education;571;4378;3,2;91,5;-75,4;7392;2578;545;Eilif Serck-Hanssen;Chairman &  Chief Executive Officer;Business Services;Education;0;Baltimore;MD;39.2903848;-76.6121893
569;Beacon Roofing Supply;582;4377;6;100,9;12,2;345;3609;5406;Paul M. Isabella;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;0;Herndon;VA;38.9695545;-77.3860976
570;KB Home;634;4369;21,5;180,6;71;5042;2468;1915;Jeffrey T. Mezger;Chairman, President &  Chief Executive Officer;Engineering &  Construction;Homebuilders;0;Los Angeles;CA;34.0522342;-118.2436849
571;Equinix;624;4368;19,3;233;83,7;18692;33128;7273;Peter F. Van Camp;Chairman, President &  Interim Chief Executive Officer;Financials;Real estate;0;Redwood City;CA;37.4852152;-122.2363548
572;Terex;445;4363;-25,3;128,7;0;3463;303;107;John L. Garrison Jr.;President, Chief Executive Officer &  Director;Industrials;Construction and Farm Machinery;0;Westport;CT;41.1414717;-73.3579049
573;Crown Castle International;596;4356;11,1;444,6;24,5;3223;45452;45;Jay A. Brown;President, Chief Executive Officer &  Director;Financials;Real estate;0;Houston;TX;29.7604267;-95.3698028
